"GRID_ID","X_COORDINATE_CENTER","Y_COORDINATE_CENTER","INJURED_LEVEL1","INJURED_LEVEL2","INJURED_LEVEL3","INJURED_LEVEL4"
"10622302","29.475","41.06","0","0","0","0"
"10742236","29.145","41.12","0","0","0","0"
"10672185","28.89","41.085","14.1611064555","6.75726825126","1.19825677922","2.3810703487"
"10552371","29.82","41.025","0","0","0","0"
"11242036","28.145","41.37","0","0","0","0"
"10462337","29.65","40.98","0","0","0","0"
"11132090","28.415","41.315","0","0","0","0"
"10552278","29.355","41.025","0","0","0","0"
"10802120","28.565","41.15","0","0","0","0"
"10982171","28.82","41.24","0","0","0","0"
"10772072","28.325","41.135","0","0","0","0"
"11252104","28.485","41.375","0","0","0","0"
"10942055","28.24","41.22","0","0","0","0"
"10962128","28.605","41.23","0","0","0","0"
"10772100","28.465","41.135","6.50641516712","2.58225882424","0","0"
"10702051","28.22","41.1","0","0","0","0"
"10932088","28.405","41.215","0","0","0","0"
"10682148","28.705","41.09","0","0","0","0"
"10672394","29.935","41.085","0","0","0","0"
"10742113","28.53","41.12","0","0","0","0"
"11522058","28.255","41.51","0","0","0","0"
"10822253","29.23","41.16","0","0","0","0"
"10552108","28.505","41.025","0","0","0","0"
"10712277","29.35","41.105","0","0","0","0"
"10842326","29.595","41.17","0","0","0","0"
"10772323","29.58","41.135","0","0","0","0"
"10432136","28.645","40.965","24.5456108877","14.0791681846","2.89646087899","5.25289172174"
"10562367","29.8","41.03","0","0","0","0"
"10682016","28.045","41.09","0","0","0","0"
"11142158","28.755","41.32","0","0","0","0"
"11342066","28.295","41.42","0","0","0","0"
"10292273","29.33","40.895","0","0","0","0"
"10772263","29.28","41.135","0","0","0","0"
"10622070","28.315","41.06","2.39392590414","0","0","0"
"11542050","28.215","41.52","0","0","0","0"
"10722133","28.63","41.11","0","0","0","0"
"10532229","29.11","41.015","5.88592093409","2.01618434379","0","0"
"10652063","28.28","41.075","13.3151871217","6.67620323143","1.07915225355","1.8002596544"
"11022063","28.28","41.26","0","0","0","0"
"11262100","28.465","41.38","0","0","0","0"
"10692255","29.24","41.095","0","0","0","0"
